memory foam pillow,located in,bedroom
memory foam pillow,located in,children room
memory foam pillow,subclass of,pillow
memory foam pillow,functionally coupled with,washing machine
washing machine,functionally coupled with,memory foam pillow
memory foam pillow,functionally coupled with,memory foam mattress
memory foam mattress,functionally coupled with,memory foam pillow
memory foam pillow,physically coupled with,down & feather duvets
down & feather duvets,physically coupled with,memory foam pillow
memory foam pillow,physically coupled with,bed frame
bed frame,physically coupled with,memory foam pillow
memory foam pillow,physically coupled with,cushion
cushion,physically coupled with,memory foam pillow
memory foam mattress,located in,bedroom
memory foam mattress,subclass of,mattress
memory foam mattress,functionally coupled with,bed frame
bed frame,functionally coupled with,memory foam mattress
down & feather duvets,located in,bedroom
down & feather duvets,subclass of,duvet
down & feather duvets,functionally coupled with,washing machine
washing machine,functionally coupled with,down & feather duvets
down & feather duvets,physically coupled with,memory foam mattress
memory foam mattress,physically coupled with,down & feather duvets
cushion,located in,bedroom
cushion,located in,living room
cushion,subclass of,soft furnishing
cushion,physically coupled with,bed
bed,physically coupled with,cushion
cushion,physically coupled with,couch
couch,physically coupled with,cushion
bed frame,located in,bedroom
bed frame,part of,bed
bed frame,physically coupled with,floor
floor,physically coupled with,bed frame
bed frame,physically coupled with,wall
wall,physically coupled with,bed frame
bed frame,has attribute,high clearance
storage bed,located in,bedroom
storage bed,subclass of,bed
storage bed,functionally coupled with,memory foam mattress
memory foam mattress,functionally coupled with,storage bed
storage bed,functionally coupled with,chest of drawers
chest of drawers,functionally coupled with,storage bed
storage bed,physically coupled with,wall
wall,physically coupled with,storage bed
storage bed,physically coupled with,floor
floor,physically coupled with,storage bed
bedside table,located in,bedroom
bedside table,subclass of,table
bedside table,functionally coupled with,chest of drawers
chest of drawers,functionally coupled with,bedside table
bedside table,physically coupled with,bed
bed,physically coupled with,bedside table
bedside table,physically coupled with,printed book
printed book,physically coupled with,bedside table
bedside table,physically coupled with,table lamp
table lamp,physically coupled with,bedside table
bedside table,physically coupled with,mug
mug,physically coupled with,bedside table
bedside table,physically coupled with,alarm clock
alarm clock,physically coupled with,bedside table
bedside table,has attribute,high clearance
tray table,located in,bedroom
tray table,located in,living room
tray table,subclass of,table
tray table,functionally coupled with,bedside table
bedside table,functionally coupled with,tray table
tray table,physically coupled with,mug
mug,physically coupled with,tray table
tray table,physically coupled with,alarm clock
alarm clock,physically coupled with,tray table
tray table,physically coupled with,floor
floor,physically coupled with,tray table
tray table,has attribute,moveable
tray table,has attribute,low clearance
table lamp,located in,bedroom
table lamp,located in,study room
table lamp,located in,children room
table lamp,subclass of,lamp
table lamp,functionally coupled with,led bulb
